"dog","seizure","segment","channel","0_quantile","25_quantile","50_quantile","75_quantile","100_quantile","mean","sd","pacf_1","pacf_2","pacf_3","ar3_ar1","ar3_ar2","ar3_ar3","intercept","sigma2","aic"
"2","interictal","1","1","-192","-16","0","17","165","0.235462909670262","28.8007547153667","0.963434532985413","-0.443046316003849","0.240526948562886","1.49689133778613","-0.777541049954821","0.240582818329184","0.00939048224396765","45.0864945919899","1593603.08360753"
"2","interictal","1","2","-185","-17","0","17","171","-0.216402659259445","28.1888064961347","0.966724167865732","-0.4844995350295","0.22524722788742","1.54426302033121","-0.807789379943905","0.225258597522668","-0.00825723759067463","37.7740972711751","1551174.29926462"
"2","interictal","1","3","-195","-18","0","18","228","0.00692341699823992","30.7483156281168","0.961819448639834","-0.4821193998857","0.2673937089159","1.55451462967405","-0.863419032023795","0.26745121330848","2.54096857010139e-05","50.4639032554442","1620618.84874679"
"2","interictal","1","4","-200","-17","0","15","250","-0.397045452649667","30.1277194308077","0.963606566070137","-0.367855637274426","0.239869380971066","1.4063498909405","-0.684094464031394","0.239904352173323","-0.0148937930021159","52.8573845079313","1631729.39770907"
"2","interictal","1","5","-130","-12","0","12","131","-0.0069359291976344","19.2584496734819","0.951174975165484","-0.387700107171654","0.168379697533926","1.38523288688108","-0.609965754448753","0.168392508511301","-0.000453920665906877","29.1694592814118","1489194.46135572"
"2","interictal","1","6","-126","-10","0","11","115","0.4162933860514","18.1712948490691","0.951900742027016","-0.401800597327183","0.16894823033768","1.40226597938245","-0.627258535840637","0.168962667440224","0.0232403544881493","25.2530022911979","1454625.67186864"
"2","interictal","1","7","-117","-13","0","12","135","-0.175191645187391","21.0631607125506","0.948690401089432","-0.372573832603516","0.241805601276264","1.39233744620776","-0.687614447264558","0.241889483405541","-0.00936558691983738","35.9635096177799","1539397.27922069"
"2","interictal","1","8","-185","-13","0","14","203","0.00530100181009827","28.3473453842504","0.977236437907561","-0.310175624676898","0.184526203901557","1.33759534570056","-0.546448494949892","0.184533583492485","0.000118740417926206","31.5750534680859","1508194.74552677"
"2","interictal","1","9","-223","-19","1","20","198","-0.209070510414321","36.7519773876353","0.970853845757047","-0.501863143758132","0.246241609037426","1.58176289348521","-0.86106641602115","0.246314082590776","-0.00682218362881837","54.5167705502351","1639140.79075046"
"2","interictal","1","10","-157","-11","0","12","135","0.353252754769233","19.5763013209347","0.947531061620871","-0.417203402867746","0.235382060335209","1.44108792954755","-0.733363000677859","0.23541505380716","0.0199198059050608","30.5521549702462","1500298.73820368"
"2","interictal","1","11","-281","-19","0","19","293","-0.137834388528816","34.6714130544818","0.960125888626297","-0.423084733160968","0.311869557473956","1.49831502193518","-0.849266183704872","0.311901126579882","-0.00560292831853345","69.6292855014377","1697805.98676659"
"2","interictal","1","12","-167","-15","0","14","147","-0.484192921431729","23.9782787718554","0.942083922430593","-0.383035413555192","0.300155493306268","1.4178567245079","-0.774020400587273","0.300094512616581","-0.0268233287089963","50.2096959691728","1619407.99715891"
"2","interictal","1","13","-139","-14","0","14","129","0.0913473970454528","22.2435583974611","0.936481338423661","-0.414596397550993","0.232100808089089","1.42095963002193","-0.722038593176865","0.232082506472468","0.00645295957995021","47.6810542949728","1607018.32397417"
"2","interictal","1","14","-106","-12","0","12","104","0.116788869147419","18.7317021488587","0.93112700560766","-0.343159670060886","0.244076048209295","1.33447384247536","-0.648509258100499","0.24412182057815","0.00822475236131153","38.7130452822663","1557061.27872472"
"2","interictal","1","15","-127","-15","1","16","146","0.475743016107371","24.3367201355034","0.916501687459898","-0.377684569705781","0.302701625296919","1.37696545607165","-0.759881429403865","0.302701981278735","0.0380489713982821","73.8139060980664","1711799.18508169"
"2","interictal","1","16","-146","-13","0","12","136","-0.340744726107955","21.5076770050262","0.946303660016124","-0.359679529929617","0.26970060197969","1.38372429847847","-0.706796213173779","0.26976055383536","-0.0180264241290877","39.0236907622399","1558977.55729297"
"2","interictal","2","1","-115","-14","0","14","110","0.193050724456345","20.6513617151084","0.921197196367179","-0.431908222791809","0.233231289402443","1.41996005364014","-0.739774116588254","0.233326539215149","0.0166496347455589","49.6487230192566","1616714.11002172"
"2","interictal","2","2","-127","-15","0","15","113","-0.336115212332023","23.0430282643306","0.946819018226107","-0.451338232778363","0.265544330002014","1.49402766209247","-0.816243258569281","0.265530261235711","-0.0190372555378478","40.6867819603853","1568984.03665311"
"2","interictal","2","3","-113","-15","0","15","148","-0.144132195557335","22.5999735802718","0.920040054107872","-0.475199760734322","0.279336046417389","1.49003624709493","-0.854411435460556","0.27937450743255","-0.0123635313378226","55.9657041100657","1645430.02212545"
"2","interictal","2","4","-114","-13","0","13","95","0.189480576895807","19.9699196882894","0.900126633229218","-0.342648908669742","0.262016156196787","1.29844488585417","-0.659460924162542","0.262092272938371","0.0186633618865614","62.1961729669009","1670738.37683006"
"2","interictal","2","5","-114","-11","0","11","90","0.00974283259511358","16.8012918453644","0.907802483943432","-0.310278865202537","0.148761179916466","1.23566530576958","-0.48724899476785","0.148762845725002","0.00108127360629329","43.8760061857849","1587077.82017068"
"2","interictal","2","6","-108","-9","0","9","86","0.380187349332266","14.0680605404755","0.895220888496625","-0.360930984768148","0.165964960673759","1.27826440101723","-0.563132515378569","0.16595406170776","0.0452428487364062","33.2367652947418","1520492.17343607"
"2","interictal","2","7","-96","-11","0","10","78","-0.274008825271306","16.2482192942671","0.890102628885339","-0.365267467746433","0.239118114070179","1.30267322998322","-0.656016022675606","0.239203902874514","-0.0311578028104379","44.798261727143","1592065.36618397"
"2","interictal","2","8","-87","-10","0","10","69","-0.0673156327419234","14.4919658112492","0.887467787919683","-0.272507210737385","0.179933175564215","1.1783387827845","-0.475724754635068","0.179945864802431","-0.00773466412309644","39.9578292768377","1564649.39291812"
